"ToolName","Key","CommandNames","FoundInPATH","PATHLocation","FoundInHints","FoundInRoots","RootMatches","PreferredPath","VersionInfo","Timestamp"
"Aider","aider","aider.exe, aider","False",,"False","False","",,,"2025-10-11T19:51:35"
"Claude Code CLI","claude","claude.exe, claude, claude-code.exe, claude-code","True","C:\Users\Richard Wilks\AppData\Roaming\npm\claude.ps1","True","True","C:\Users\Richard Wilks\AppData\Roaming\npm\claude | C:\Users\Richard Wilks\AppData\Roaming\npm\claude.cmd | C:\Users\Richard Wilks\AppData\Roaming\npm\claude.ps1","C:\Users\Richard Wilks\AppData\Roaming\npm\claude.ps1",,"2025-10-11T19:59:25"
"Continue CLI","continue","cn.exe, cn","True","C:\Users\Richard Wilks\AppData\Roaming\npm\cn.ps1","True","True","C:\Users\Richard Wilks\AppData\Roaming\npm\cn | C:\Users\Richard Wilks\AppData\Roaming\npm\cn.cmd | C:\Users\Richard Wilks\AppData\Roaming\npm\cn.ps1","C:\Users\Richard Wilks\AppData\Roaming\npm\cn.ps1",,"2025-10-11T20:03:14"
"Gemini CLI","gemini","gemini.exe, gemini, gemini-cli.exe, gemini-cli","True","C:\Users\Richard Wilks\AppData\Roaming\npm\gemini.ps1","True","True","C:\Users\Richard Wilks\AppData\Roaming\npm\gemini | C:\Users\Richard Wilks\AppData\Roaming\npm\gemini.cmd | C:\Users\Richard Wilks\AppData\Roaming\npm\gemini.ps1","C:\Users\Richard Wilks\AppData\Roaming\npm\gemini.ps1",,"2025-10-11T20:12:00"
"Git","git","git.exe, git","True","C:\Program Files\Git\cmd\git.exe","True","True","C:\Program Files\Git\cmd\git.exe","C:\Program Files\Git\cmd\git.exe","git version 2.47.1.windows.2","2025-10-11T20:16:53"
"GitHub CLI","gh","gh.exe, gh","True","C:\Program Files\GitHub CLI\gh.exe","True","True","C:\Program Files\GitHub CLI\gh.exe","C:\Program Files\GitHub CLI\gh.exe","gh version 2.76.2 (2025-07-30)
https://github.com/cli/cli/releases/tag/v2.76.2","2025-10-11T20:31:47"
"GitHub Copilot CLI","github-copilot","github-copilot.exe, gh-copilot.exe, copilot.exe, github-copilot, gh-copilot, copilot","True","C:\Program Files\GitHub CLI\gh.exe","False","False","","C:\Program Files\GitHub CLI\gh.exe","gh version 2.76.2 (2025-07-30)
https://github.com/cli/cli/releases/tag/v2.76.2","2025-10-11T20:45:38"
"Node.js","node","node.exe, node","True","C:\Program Files\nodejs\node.exe","False","True","C:\Users\Richard Wilks\.vscode\extensions\ms-vscode.azure-account-0.13.0\bin\node.bat","C:\Program Files\nodejs\node.exe","v24.4.0","2025-10-11T20:49:34"
"npm","npm","npm.cmd, npm","True","C:\Program Files\nodejs\npm.cmd","False","False","","C:\Program Files\nodejs\npm.cmd","11.4.2","2025-10-11T20:53:27"
"Ollama","ollama","ollama.exe, ollama","True","C:\Users\Richard Wilks\AppData\Local\Programs\Ollama\ollama.exe","False","True","C:\Users\Richard Wilks\Downloads\SORT_FILE\CLI_RESTART\ollama.exe","C:\Users\Richard Wilks\AppData\Local\Programs\Ollama\ollama.exe","Error: unknown command ""version"" for ""ollama""","2025-10-11T20:57:21"
"Open Codex CLI","opencodex","opencodex.exe, opencodex, codex.exe, codex","True","C:\Users\Richard Wilks\AppData\Roaming\npm\codex.ps1","True","True","C:\Users\Richard Wilks\.vscode\extensions\.cdfc3205-07ab-4ebd-ab95-35d0341bf9b0\bin\windows-x86_64\codex.exe | C:\Users\Richard Wilks\.vscode\extensions\.fe2d6258-056f-4448-9318-e920c802ca8f\bin\windows-x86_64\codex.exe | C:\Users\Richard Wilks\.vscode\extensions\openai.chatgpt-0.4.15-win32-x64\bin\windows-x86_64\codex.exe | C:\Users\Richard Wilks\.vscode\extensions\openai.chatgpt-0.4.19-win32-x64\bin\windows-x86_64\codex.exe | C:\Users\Richard Wilks\AppData\Roaming\npm\codex | C:\Users\Richard Wilks\AppData\Roaming\npm\codex.cmd | C:\Users\Richard Wilks\AppData\Roaming\npm\codex.ps1","C:\Users\Richard Wilks\AppData\Roaming\npm\codex.ps1",,"2025-10-11T21:03:59"
"OpenCode CLI","opencode","opencode.exe, opencode.cmd, opencode","True","C:\Users\Richard Wilks\AppData\Roaming\npm\opencode.cmd","True","True","C:\Users\Richard Wilks\AppData\Roaming\npm\node_modules\opencode-ai\bin\opencode.cmd | C:\Users\Richard Wilks\AppData\Roaming\npm\node_modules\opencode-ai\node_modules\opencode-windows-x64\bin\opencode.exe | C:\Users\Richard Wilks\AppData\Roaming\npm\opencode | C:\Users\Richard Wilks\AppData\Roaming\npm\opencode.cmd | C:\Users\Richard Wilks\AppData\Roaming\npm\opencode.ps1","C:\Users\Richard Wilks\AppData\Roaming\npm\opencode.cmd","0.12.1","2025-10-11T21:09:22"
"pipx","pipx","pipx.exe, pipx","True","c:\users\richard wilks\appdata\roaming\python\python312\scripts\pipx.exe","False","False","","c:\users\richard wilks\appdata\roaming\python\python312\scripts\pipx.exe","1.7.1","2025-10-11T21:13:10"
"Python","python","python.exe, py.exe, python, py","True","C:\Program Files\Python312\python.exe","True","True","C:\Users\Richard Wilks\.cache\pre-commit\repo23iz1npc\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repo9nxrskxm\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repo9pemz3p_\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repoemjwodd7\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repogyettp69\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repon1c8rlp4\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repop4dfc446\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.cache\pre-commit\repoqyls1oj1\py_env-python3\Scripts\python.exe | C:\Users\Richard Wilks\.venv\Scripts\python.exe | C:\Users\Richard Wilks\AppData\Local\Programs\Python\Python311\Lib\venv\scripts\nt\python.exe | C:\Users\Richard Wilks\AppData\Local\Programs\Python\Python311\python.exe | C:\Users\Richard Wilks\AppData\Local\Programs\Python\Python313\python.exe | C:\Users\Richard Wilks\Documents\PythonScripts\myenv\Scripts\python.exe | C:\Users\Richard Wilks\Downloads\python | C:\Users\Richard Wilks\mql4_embeddings\Scripts\python.exe | C:\Users\Richard Wilks\myenv\Scripts\python.exe | C:\Users\Richard Wilks\pipx\shared\Scripts\python.exe | C:\Users\Richard Wilks\pipx\venvs\nox\Scripts\python.exe","C:\Program Files\Python312\python.exe","Python 3.12.10","2025-10-11T21:21:03"
